,№слитка-индекс-часть,"кол. в садке, шт",Температура,нагрев_operation_1,ковка_operation_2,прокат_operation_3,нагрев_operation_4,ковка_operation_5,прокат_operation_6,нагрев_operation_7,ковка_operation_8,прокат_operation_9,нагрев_operation_10,ковка_operation_11,прокат_operation_12,нагрев_operation_13,ковка_operation_14,прокат_operation_15
95,34-8893-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
96,34-8993-18 №7-12,1.0,750.0,4.0,,,,,,,,,,,,,,
97,5762-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
98,5772-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
99,5782-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
100,5792-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
101,TS-1768,1.0,1060.0,3.0,,0.25,,,,,,,,,,,,
102,TS-1769,1.0,1060.0,3.0,,0.25,,,,,,,,,,,,
103,TS-1818,1.0,1000.0,3.0,,0.25,,,,,,,,,,,,
104,TS-1819,1.0,1000.0,3.0,,0.25,,,,,,,,,,,,
105,5802-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
106,5812-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
107,3232-18,1.0,1060.0,5.0,,0.25,,,,,,,,,,,,
108,15053-18,1.0,1100.0,3.0,,0.25,,,,,,,,,,,,
109,15053-18,1.0,1100.0,3.0,,0.25,,,,,,,,,,,,
110,5023-18-1 ч/с,1.0,960.0,3.0,0.25,,,,,,,,,,,,,
111,5023-18-2,1.0,960.0,4.0,0.25,,,,,,,,,,,,,
112,389-18-1,2.0,960.0,3.0,0.25,,2.0,0.25,,,,,,,,,,
113,389-18-2,2.0,960.0,3.0,0.25,,2.0,0.25,,,,,,,,,,
114,"34-8913-18 №1,2",2.0,950.0,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
115,"34-8913-18 №3,4",2.0,950.0,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
116,"34-8913-18 №5,6",2.0,950.0,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
117,5023-18-2 ч/с,1.0,960.0,3.0,0.25,,,,,,,,,,,,,
118,"34-15153-18 №1,2",2.0,1060.0,3.0,0.25,,,,,,,,,,,,,
119,2453-18 №1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
120,2453-18 №2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
121,2463-18 №1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
122,2463-18 №2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
123,2473-18 №1,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
124,2473-18 №2,1.0,960.0,3.0,,0.25,,,,,,,,,,,,
125,"34-8913-18 №7,8",2.0,950.0,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
126,"34-8913-18 №9,10",2.0,950.0,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
127,"34-8913-18 №11,12",2.0,950.0,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
128,8953-18,2.0,960.0,4.0,0.25,,1.0,0.25,,1.0,0.25,,1.0,0.25,,,,
129,"36-8873-18 №1,2",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
130,"36-8873-18 №3,5",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
131,15143-18,1.0,1060.0,5.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
132,398-18-1,2.0,860.0,3.0,0.25,,,,,,,,,,,,,
133,398-18-2,2.0,860.0,3.0,0.25,,,,,,,,,,,,,
134,399-18-1А.Б,2.0,860.0,3.0,0.25,,,,,,,,,,,,,
135,"399-18-2В,Г",2.0,860.0,3.0,0.25,,,,,,,,,,,,,
136,2483-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,,,,,,,,,
137,2483-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,,,,,,,,,
138,398-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
139,398-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
140,398-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
141,398-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
142,399-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
143,399-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
144,399-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
145,399-18-1,2.0,870.0,3.0,0.25,,,,,,,,,,,,,
146,2513-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,,,,,,,,,
147,2523-18,1.0,1100.0,5.0,0.25,,1.0,0.25,,,,,,,,,,
148,Балласт,1.0,1060.0,4.0,0.25,,,,,,,,,,,,,
149,"34-15103-18 №1,7",2.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
150,34-15103-18 №13,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
151,"34-8893-18 №1,5",2.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
152,34-8893-18 №9,1.0,950.0,3.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
153,"34-15053-18 №5,7",2.0,1060.0,1.0,0.25,,,,,,,,,,,,,
154,"34-15053-18 №5,7",2.0,960.0,1.0,0.25,,,,,,,,,,,,,
155,"34-15053-18 №9,11",2.0,1060.0,1.0,0.25,,,,,,,,,,,,,
156,"34-15053-18 №9,11",2.0,960.0,1.0,0.25,,,,,,,,,,,,,
157,"34-15053-18 №13,15",2.0,1060.0,1.0,0.25,,,,,,,,,,,,,
158,"34-15053-18 №13,15",2.0,960.0,1.0,0.25,,,,,,,,,,,,,
159,"34-15053-18 №17,19",2.0,1060.0,1.0,0.25,,,,,,,,,,,,,
160,"34-15053-18 №17,19",2.0,960.0,1.0,0.25,,,,,,,,,,,,,
161,"34-15053-18 №21,23",2.0,1060.0,1.0,0.25,,,,,,,,,,,,,
162,"34-15053-18 №21,23",2.0,960.0,1.0,0.25,,,,,,,,,,,,,
163,"34-15093-18 №1,2",2.0,950.0,3.0,,0.25,,,,,,,,,,,,
164,"34-8863-18 №1,2",2.0,950.0,3.0,,0.25,,,,,,,,,,,,
165,"34-8813-18 №1,2",2.0,950.0,3.0,,0.25,,,,,,,,,,,,
166,"34-15103-18 №1,4",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
167,"34-15103-18 №7,10",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
168,"34-15103-18 №13,16",2.0,950.0,2.0,0.25,,1.0,0.25,,1.0,0.25,,,,,,,
169,34-8973-18,1.0,1100.0,3.0,,0.25,,,,,,,,,,,,
170,2483-18,2.0,960.0,3.0,,0.25,,,,,,,,,,,,
171,2493-18,2.0,960.0,3.0,,0.25,,,,,,,,,,,,
172,2513-18,2.0,960.0,3.0,,0.25,,,,,,,,,,,,
173,2523-18,2.0,960.0,3.0,,0.25,,,,,,,,,,,,
